آخذ,گیرنده
ارفاق,آسانگیری;چشم پوشی;سو;گذشت
ارکان,پایه‌ها
ارکستر,همنوازی
اریکه سلطانی,تخت فرمانروایی
از اوایل,از آغاز
از این جهت,از این رو
از این طریق,از این راه;از این روش
از این قبیل,از این دست;از اینگونه;بدین سان
از این نظر,از این رو
از آن جمله,از آن میان;همانند
از آن روز به بعد,پس از آن روز
از بین بردن,از میان بردن
از جانب,از سوی
از جمله,همچنین;از آنگونه;از دسته;از دسته;از آنگونه
از حیث,از دید
از طرف دیگر,از سوی دیگر
از طریق,از راه
از قدیم,از دیر باز;از دیرباز
ازدواج,پیوند زناشویی;زناشویی;همسرگیری
اساس,پایه;بنیاد;پایه‌ها;پی;زیرساخت;شالوده
اساسنامه,بنیادنامه
اساسی,بنیادی;بنیادین
اسپری,افشانه
استبداد,تکسالاری;خودسری;خودکامگی;خوکامگی
استحصال,برداشت
استحضار,آگاهی;آگاه آوردن;بیادآوردن;پیدایش
استحقاق,سزاواری;شایستگی
استحکامات,سنگربندی‌ها
استدعا می‌کنم,خواهش می‌کنم
استراتژی,راهبرد
استراتژیک,راهبردی
استراحت کردن,آرمیدن;آسودن;درازکشیدن
استراق سمع,شنود دزدکی;دزد گوشی;شنود;فال گوش ایستادن;نهان گوشی
استشهاد,گواهی;گواهی خواهی
استعفا,کناره گیری;کناره جویی
استعمال,کاربرد;بکاربردن;بکارگیری
استفاده از,به کارگیری
استقبال,پیشواز;پذیره;پیشباز;پذیرفتاری
استقرار,برپایی;استوارشدن;جاگرفتن;جایگیری
استمرار,ادامه;پیاپی;پیوستگی
استنباط,برداشت;اندریافت;برداشت کردن;پی بردن;دریافتن
استهزاء,ریشخند;نیشخند
استهلاک,فرسایش;فرسودگی;میرانیدن;نابود کردن
استیجاری,کرایه‌ای
استیضاح,بازخواست;کاوش;گزارشخواهی;واپرسی
استیلاء,چیرگی;پیروزی;دستیابی
اساطیر,افسانه;اسطوره;داستان
اسقاطی,ناکارآمد
اسکله,بارانداز;لنگرگاه
اسلاف,پیشینیان;گذشتگان;پشینیان
اسلحه,جنگ‌افزار;ابزار جنگ‌افزار;زینه
اسم,نام;برنام;آوازه
اسهال,شکم روی;بیرون روی;شکم روش;آسان روی
اسیر,برده;در دام;دربند;دستگیر;گرفتار
اشتباها,ندانسته
اشتغال,کارگماری;سرگرمی;کار
اشرار,آشوبگران
اشراف,بزرگان;بزرگواران;بلند پایگان;توانگران;دیده‌وری;فرونگریستن
اصحاب,یاران;دوستان;همدلان
اصرار,پافشاری;پاپیچی
اصطکاک,سایش;مالش
اصطلاحات,واژگان
اصفهان,اسپاهان;اسپهان
اصولی,بنیادی;بنیادین;ریشه‌ای
اصیل,ریشه‌دار;با نژاد;تبارمند;گوهری;نژاده;والاگوهر
اضافه کردن,افزودن
اضمحلال,نابودی;تباهی;نیستی
اطاعت,پیروی;فرمانبرداری;گردن نهادن
اطاق,اتاق;چهاردیواری;اتاغ;سراچه
اطرافیان,خویشان;پیرامونیان;نزدیکان
اطریش,اتریش
اطفال,کودکان
اطلاع,آگاهی;آگاهبود;پیام;گزارش
اطلاع ثانوی,آگهی پس از این
اطلاعات,آگهی‌ها;داده‌ها;درونداد
اظهار داشت,بازگو کرد
اظهار نظر,بازگویی دیدگاه
اعتبارنامه,استوارنامه
اعتدال,میانه روی;ترازینه;میان گرایی
اعتقادات,باورها
اعتماد به نفس,خود باوری;خودباوری
اعتماد متقابل,همباوری
اعجاب انگیز,شگفت انگیز
اعدام کردن,سر به نیست کردن
اعلام کردن,آگاه کردن;آگاهاندن
اعلان,آگهی;آشکارکردن;آگاهانیدن
اعیاد,جشن‌ها
اغتشاش,آشفتگی;شورش
اغلب,بیشتر;چیره تر
افتتاح,گشایش;بازگشایی
افتخار,سربلندی;بالندگی;بالیدن;سرافرازی;نازش;نازیدن
افتضاح,رسوایی
افراد,مردم;کسان
افرادیکه,کسانیکه
افراط,زیاده روی;زیاده روی کردن;فراخروی
افسوس,دریغا
اقامت,ماندن;زیستن;ماندگار شدن;ماندگاری
اقبال,بخت;نیک‌بختی
اقدام نمودن,دست زدن
اقصی نقاط جهان,سرتاسر جهان
اقصی نقاط دنیا,سرتاسر جهان
اقصی نقاط کشور,سرتاسر کشور
اقلام,نمونه‌ها
اقلیت,کمتری;بخش کمتر;کمترین
اکاذیب,دروغ‌ها;ژاژها;ژاژه‌ها
اکتفاء,بس;بسندگی;بسنده
اکتفاء کردن,بسنده کردن
اکثر قریب اتفاق,بیشتر
اکثرا,بیشتر;بیشترین
اکثراً,بیشتر;بیشترین
اکثریت,شمار بیشتر;بیشتری;بیشترین;بیشینه;مهیستی
الان,اکنون;ایدر;این هنگام;اینگاه;هم اکنون;همین دم;همینگاه
البسه,پوشاک
الحاق,پیوست
الی یا لغایت,تا
اما,ولی;آنگاه;گرچه
امام,پیشوا
امام جماعت,پیشنماز
امتحان کردن,آزمودن;آزمایش کردن;ویزایش
امتداد,راستا;راستای
امتناع کردن,خودداری کردن
امثال,همانند
امدادگر,یاری رسان
امرار معاش,گذران زندگی
امریه,فرمان نامه
امکان پذیر,شدنی
انبیاء,پیامبران;پیغمبران
انتخاب,گزینش;برگزیدن;گزینه
انتخابات,همه پرسی;گزیدمان
انتصاب,گماشتن;به کارگماری;گماشتگی;گمایش
انتظار,چشمداشت;چشم به راه بودن;چشمداشتن
انتظار داشتن,چشم داشتن
انتظار می‌رود,پیش بینی می شود
انتقاد کردن,خرده گیری;خرده گرفتن
انتقام,تلافی;تاوان گیری;خونخواهی;ریمنی;کینخواهی;کینه توزی;کینه جویی
انحاء,روش‌ها
انحرافات,کژی‌ها
انزوا,گوشه گیری;گوشه نشینی
انسجام,هماهنگی;همبستگی
انشاء الله,به امید خدا
انصراف دادن,چشم پوشی کردن;کناره گیری کردن
انعطاف,نرمش;خمیدگی;لادو
انعقاد خون,لختگی خون
انفجار,پکیدن;پکش;پکش;تراکش;ترکش;ترکیدن
انفصال,جدایی;جدا شدن;گسستگی;ناپیوستگی
انهار,رودها
انهدام,نابودی;نیستی;ویران کردن;ویرانگری;ویرانی
انواع,گونه‌ها;جورواجور;گونه‌ها
اهالی بوشهر,مردمان بوشهر
اهتمام,کوشش;پشتکار;تلاش;دلبندی
اهدا کردن,پیشکش کردن
اواسط,میانه‌ها
اول,نخست;آغاز;آغازین;سرآغاز;یکم
اولا,نخست
اولاد,فرزندان;زاده‌ها
اولویت,نخستینگی;برتری
اولین,نخستین;آغازین
ایام,روزها;روزگاران;زمانها
ایجاد اشتغال,کارآفرینی
ایجاد شده,برپاشده;برپا شده
ایجاد کردن,پدید آوردن
ایده آل,آرمانی
ایده آلیست,آرمان گرا;انگارگرا
ایده آلیسم,آرمان گرایی
ایرانی الاصل,ایرانی تبار
ایرانیت,ایرانی گری
ایمان,باور;باور داشتن;باورداشت;باورمندی;پای بندی;گرایش
ایندکس,نمایه
بالاخص,به ویژه
بالعکس,وارون;واژگونه
بالقوه,نهفته;خفته
بالکن,ایوان;پالگانه
بحبحه,هنگامه
بحث و تبادل نظر,گفتمان
بحر خزر,دریای مازندران
بد جنس,بد نهاد;بد سرشت
بدعت,نوآوری
بدن,تن;اندام;پیکر;تنه;کالبد
بدو,آغاز
بدون شک,بی گمان
بدون فوت وقت,بی درنگ
بدیل,همتا
بدین طریق,بدین روش
بذله گو,شوخ
بر اساس,بر پایه
بر عهده,بر دوش;بردوش
بر مبنای,بر پایه;بر اساس
براق,درخشان;پرفروغ;درخشنده
برای مثال,برای نمونه
برخی مواقع,گاهی
برعکس,وارونه;واژگون;واژگونه
برکه,آبگیر;آبدان;تالاب
برودتی,سرمایشی
بسط,گسترش
بسمه تعالی,به نام خدا
بسهولت,به آسانی
بشارت دادن,مژده دادن
بشاش,خندان;خنده رو;خوشرو;گشاده رو
بشر,آدمی;آدمیان;مردم;مردمان
بصیرت,بینش;بینشمندی
بعد,پس;دوری;آنگاه;آینده;پس از این;دورا;دیگر;سپس;سویگان
بعدها,در آینده
بعضا,گاهی
بعضی,برخی;پاره‌ای;گروهی
بعضی مواقع,گاهی
بعضی وقتها,گاهی
بعید,دور
بکر,دست نخورده
بلاتکلیف,بی برنامه
بلاتکلیفی,بی برنامگی
بلاغت,شیوایی;رسایی
بلافاصله,بی درنگ;اندر زمان;دردم
بنیان,بنیاد;پایه;پی;شالوده
بنیانگذار,بنیادگذار
به اتفاق,همراه
به احتمال زیاد,به گمان بسیار
به این ترتیب,بدین سان;بدین روی;بدین گونه;بدینسان;بدینگونه
به تدریج,کم کم;اندک اندک;به آهستگی;گام به گام
به تفصیل,به گستردگی
به حق,به سزا
به خصوص,به ویژه
به زعم,به باور
به سرعت,با شتاب;به تندی;به شتاب
به طور قطع,بی گمان
به ظن من,به گمان من
به عبارتی,به گفته ای
به علاوه,افزون بر آن;افزون بر;به همراه;فزون;همراه با
به غیر از اینکه,جدا از اینکه
به قول,به گفته
به کرات,بارها
به لحاظ,از دید
به مثابه,به مانند
به منظور,برای
به موازات,همراستا
به نحو,به گونه
به نحوی,به گونه ای
به هر حال,به هر روی
به هر صورت,به هر روی
به همین خاطر,از این رو
به همین دلیل,از این روی;از همین روی
به هیچ عنوان,به هیچ روی
به واقع,به راستی
به وجود آوردن,پدید آوردن
به وجود آورنده,پدیدآورنده
به وسیله,بدست
به وضوح,به روشنی
به وفور,فراوان;بسیار;به فراوانی
به وقوع پیوست,رخ داد
بولتن,گزارشنامه
بی احتیاط,بی پروا
بی احساس,سنگدل
بی اصل,بی ریشه
بی اصل و نسب,بی ریشه
بی اعتقاد,ناباور
بی اعتقادی,ناباوری
بی اعتنا,رویگردان
بی اعتنایی,رویگردانی
بی انتها,بی پایان;بیکران
بی انضباطی,نا به سامانی
بی بدیل,بی همتا
بی بضاعت,تهیدست
بی تامل,بی درنگ;بی اندیشه;بیدرنگ
بی تأمل,بیدرنگ;بی اندیشه
بی تدبیر,نابخرد
بی تدبیری,نابخردی
بی ترتیب,درهم;نابسامان
بی تردید,بی گمان
بی توجه,بی پروا
بی جرات,بزدل;بز دل;ترسو
بی جرأت,بز دل;ترسو
بی جواب,بی پاسخ
بی حد و حصر,بی اندازه;بیکران
بی حساب,بیشمار;بی اندازه
بی حواس,پریشان;بی هوش
بی حوصلگی,بی تابی
بی حوصله,بی تاب;شتابزده
بی خبر,سرزده;نا آگاه;ناآگاه
بی خبری,ناآگاهی
بی رحم,سنگدل
بی رقیب,بی مانند
بی روح,بی جان;بیجان
بی سلیقگی,بدپسندی;کژپسندی
بی صبر,ناشکیبا;بی تاب;ستان
بی صبری,ناشکیبایی;بی تابی
بی عدالتی,بی دادگری;بیداد;بیدادگری
بی قرار,بی تاب;پریشان;خسته دل;سراسیمه;نا آرام
بی قراری,بی تابی
بی کفایتی,ناشایستگی
بی لیاقتی,ناشایستگی
بی نظمی,نا به سامانی
بی نظیر,بی همتا;بی مانند
بیان کردن,بازگو کردن;برشمردن
بیش از حد,بیش از اندازه
بین,میان;جدایی;میانه
بین المللی,جهانی;جهان‌گستر;فرابومی;فرامرزی;کیهانی;میان کشوری
بینهایت,بیکران
بیوگرافی,زندگینامه;سرگذشت;سرگذشت نامه
پارتیشن,دیوارک
پاسپورت,گذرنامه
پر تعداد,پرشمار
پرتحمل,پرتاب
پرتعداد,پرشمار
پرثمر,پربار
پرنس,شاهزاده
پرنسس,شاهدخت
پروسه,فرآیند
پستچی,نامه رسان;چاپار
پیش شرط,پیش نیاز
تا به حال,تاکنون
تا حالا,تاکنون
تا حدودی,تا اندازه ای
تا حدی,تا اندازه ای
تابعیت ایران,شهروندی ایران
تاثرآور,دلخراش
تاثیر,کارایی;درآیش;کارسازی;هنایش;هنایش
تاثیر گذار,کارساز;هنایا
تاجر,بازرگان;بازاری;داد و ستدگر;سوداگر
تاخیر,دیرکرد;درنگ;واپس ماندن
تاریک دنیا,جهانخرد
تاسف,افسوس;اندوه;دریغ;شوربختی
تاسیس,راه اندازی;پایه گزاری;بنیاد گذاری;بنیان گذاری;بنیانگذاری;پایه گذاری
تاسیس کردن,بنیان گذاری کردن;پایه گزاری کردن
تاکید,پافشاری;سفارش
تاکید کرد,پافشاری کرد
تالم,اندوه;آزردگی;دردمندی;دردناک
تالیف شده,نوشته شده
تامل,درنگ;اندیشه;ژرف نگری;نگرش
تاثیر,کارسازی;هنایش;درآیش
تاخیر,درنگ;دیرکرد;واپس ماندن;دیرکردن
تأسف,دریغ;افسوس;اندوه;شوربختی
تأسیس,بنیاد گذاری;پایه گذاری
تأکید,پا فشاری;پا بر جایی;سفارش
تألم,اندوه;دردمندی;آزردگی
تألیف شده,نوشته شده
تأمل,درنگ;ژرف نگری;نگرش
تبادل نظر,گفتگو;گفتمان
تبریزی الاصل,تبریزی تبار
تبریک,شادباش;خجسته;شاباش;فرخنده;فرخنده باد
تبسم,لبخند;شکرخند;شیرین خند
تبعات,پیامدها
تبعه ایران,شهروند ایران
تبعیت,پیروی;فرمانبری;پیروی
تبعیت کردن,پیروی کردن;فرمان بردن
تجار,بازرگانان;سوداگران
تجارت,بازرگانی;داد وستد;سوداگری
تجاری,بازرگانی;سوداگرانه;سودایی
تجانس,همگنی;همرنگی;همگینی
تجاوز,دست درازی;بیرون از اندازه;تازش;چنگ اندازی
تجدید نظر,بازنگری
تجربه کردن,آزمودن;از سر گذراندن
تجزیه طلب,جدایی خواه
تجزیه و تحلیل,موشکافی;واکاوی
تجمع,گردهمایی;انجمنی
تجمع کنندگان,گردآمدگان
تجهیزات,ساز و برگ;آگاهی‌ها;آمادگی‌ها
تحت اللفظی,واژه به واژه
تحت فشار,زیر فشار
تحت لوای,زیر درفش
تحتانی,زیرین
تحرک,جنبش;جنب و جوش کردن;جنبیدن
تحریک کننده,برانگیزاننده
تحسین برانگیز,آفرین انگیز
تحصن,بست;بست نشینی;پناه بردن;پناهش;پناهنده شدن
تحصن کردن,بست نشستن
تحصنگاه,بستگاه
تحقیق,پژوهش;جستجو;بازجویی;بررسی;رسیدگی
تحقیقاتی,پژوهشی
تحمل,بردباری;تاب;تاب آوری;شکیبایی
تحمل کرد,تاب آورد
تحمل نمی‌کند,برنمی تابد
تحولات,دگرگونی‌ها
تخصص داشتن,سررشته داشتن;کاردان بودن
تخلیه,تهی سازی;بیرون ریختن;تهی کردن
تخمین,برآورد;برآورد کردن;دیدزدن;گمانه
تخیل,پنداشت;انگیزش;پندار;پنداشتن;گمان کردن
تداوم,ادامه;ماندگاری
تدبیر,راهکار;چاره;چاره اندیشی;رایزنی;کاردانی
تدوین,گردآوری;فراهم آوری;فراهم کردن;نگارش
تذکر,یادآوری;گوشزد
تراس,ایوان;پادگانه;مهتابی
تربیت,پرورش;فرهیختن
ترجمه,برگردان;برگردانی;ترزبانی;ترگویه;نورند;ویراردن
تردد,آمدوشد;آمد و شد;رُ آی;رفت و آمد;رفت وآمد;رو و آی
تردید,دودلی;دودل بودن;گمان
ترشح,تراوش;تراویدن
ترغیب کند,یا دارد
ترقی,پیشرفت;بالا رفتن;پیشرفت;خیزش
ترمینال,پایانه
تساوی,برابری;همانندی;همچندی;همسانی
تسبیح,دستگرد;شمارافزار
تست,آزمایش;آزمون
تسطیح,هموارسازی
تسلط,چیرگی;پیروزی;چیره دستی;چیره شدن;دست
تثقیلی,تنگنا اندازی
تفاوت,آماج‌ها
تصادف,برخورد;بهم خوردن;پیشامد;رخداد;رویداد
تصادم,برخورد;بهم کوفتن
تصحیح کردن,درست کردن;ویراستن
تصفیه,پالایش
تصور کردن,انگاشتن;پنداشتن;گمان کردن;هوشیدن
تظاهرات,راهپیمایی
تعجیل,شتاب کردن;شتافتن;کردن شتاب
تعداد,شمار;شمارگان;شمارش;شمارگان;شماره
تعداد محدودی,شمار اندکی
تعدادی,شماری;چندی
تعلق خاطر,وابستگی;دلبستگی
تعلیم,آموزش;آموختن;آموزاندن;آموزه;یاد دادن
تعهدنامه,پیمان نامه
تغییر کرد,دگرگون شد
تغییرات,دگرگونی‌ها;دگرگونی‌ها
تفتیش,بازجویی;بازرسی;جستجو;کاویدن
تفحص,پیکاوی;جستجو;کندوکاو
تفرجگاه,گردشگاه
تفریق,کاهش;پراکنش
تفنگچی,تفنگدار
تفویض,سپردن;واگذار کردن;واگذاری
تقبل کردن,پذیرا شدن;پذیرفتن
تقدیر یا قسمت,سرنوشت
تقدیم کردن,پیش کش کردن
تقرب,نزدیکی;آشنایی;فرامندی
تقسیم,بخش;بخش کردن;بخشش;پاره پاره کردن
تقلب,دغلی;دغلکاری;نادرستی;نیرنگ
تقلیل,کاهش;کاستن;کم کردن
تقلیل دادن,کاستن
تقوی,پرهیزگاری;پارسایی;پرهیز;پرهیزکاری
تقویم,سالنامه;ارزیابی;برآورد;گاهشمار;گاهنامه
تکذیب کردن,دروغ شمردن
تکریم,بزرگداشت;ارجمندشمردن;گرامی
تکنیک,شگرد
تلف کردن,هدر دادن
تلفیقی,آمیزه ای
تلویحا,سربسته;درپرده;نهانی
تمام امور,همه کارها
تمام شده,پایان یافته;پایانیده
تمامی,همگی;همه
تمامیت ارضی,یکپارچگی کشوری
تمایل,گرایش;خواهانی;دلبستگی
تمایلات,گرایش‌ها
تمثال,پیکر;تندیس;فرتور;نگاره
تمرد,سرکشی;سرپیچی;گردن کشی;نافرمانی
تمساح,سوسمار
تمنا,خواهش;درخواست;بدنبال;برای
تمنا می‌کنم,خواهش می‌کنم
تمول,توانگری;دارا شدن
تهمت,انگ;بد نام کردن;بدنامی;دروغ بستن
تواتر,بسامد;پشت سرهم;پی در پی;پیاپی
تواضع,فروتنی
توالت,دستشویی;آبخانه;دست به آب
توام,باهم;همپا;همراه;همزاد
توأم,همراه;باهم;همپا;همزاد
توجه,آگاهی;پرداختن;پروا;دریافت;نگاه;نگر;رویآوری;رویکرد;نگرورزی
توریست,گردشگر
توریسم,گردشگری
توزیع,پخش;پخش کردن;پخشایش;پراکنده ساختن
توسط,بدست;به دست;بهدست;میانجی;میانجیگری;میانگی
توسعه,گسترش;افزایش;پهناوری;پیشرفت;فراخی
توصیه,پیشنهاد;اندرز;پند;رهنمود;سپارش;سفارش
توضیح المسائل,روشنگرنامه
توقع,چشمداشت;چشمداشت;خواسته;خواهش
توقیف,بازداشت;دستگیری
توکل به خدا,به امید خدا
تونل,دالان;دالانه;شکافه
ثالثا,سوم;سوم آنکه
ثانیا,دوم;دوم آنکه;دیگر بار
ثبت نام,نام نویسی
ثبت نام کردم,نام نویسی کردم
ثروت,دارایی;توانایی;سرمایه
ثقیل,سنگین;گرانبار
ثلاثه,سه گانه
ثالث,خوم;خوم آغ
ثانی,دوم;دوم آغ;دیگر بار
ثلث ماه,سوم ماه
ثلث ماه کردم,سوم ماه کردم
ثبوت,پایداری;استواری
جدول الفبایی,راه نمای واژگانی
جذب,کشش;ربایش;گرایش
جنب,پهلوی;کناری
جاهل,نادان;بی خرد;کوراندیش;ناآگاه
جایزه,پاداش
جبار,ستمکار;بیدادگر;ستمگر
جدار,پوسته;دیوار;دیواره
جدید,به تازگی
جدیدالانتشار,تازه چاپ
جدیدالتاسیس,نوساز;تازه ساز;نوبنیاد
جدیدالتأسیس,نوبنیاد;نوساز
جدیدترین,تازه ترین
جذاب,گیرا;دلربا;فریبا;فریبنده
جذابیت,گیرایی;گیرایش
جذب دانشجو,پذیرش دانشجو
جرئت,دلیری;پردلی;نترسی
جرات,گستاخی;یارا
جراید,روزنامه‌ها
جرأت,یارا
جرثقیل,گرانکش;سنگینبر
جرح,زخم
جرم,گناه;بزه;لغزش;زنگ;بزهکاری;چگالی;غند;لرد
جریمه,تاوان
جزء به جزء,بند به بند;مو به مو
جزایی,کیفری
جزیره,آبخوست
جزیی از آن,پاره ای از آن
جسد,پیکر;لاشه;مردار
جسور,بی باک;دلیر;گستاخ;نترس
جعل,برساخت;روسازی;ساختگی
جعلی,برساخته;دروغین;ساختگی
جلاد,دژخیم;آدمکش;شکنجه گر
جلال و جبروت,فر و شکوه
جلسات,نشست‌ها
جلسه,نشست;انجمن نشست;دیدار;گردهمایی
جلسه کارمندان,نشست کارمندان
جلوس کردن,نشستن
جمع آوری,گردآوری;برداشت
جمعا,رویهمرفته
جمعاً,رویهمرفته
جمعه,آدینه
جمعی,گروهی
جنس,کالا;ژاد;گینه
جنوب,نیمروز;اواخشتر;نسا;نیمروز
جهل,نادانی;نادانستگی
جهنم,دوزخ
جواب,پاسخ
جوابگو,پاسخگو
جواز,پروانه;روادید;گذرنامه
جادهٔ مواصلاتی,راه دسترسی
جاذبه,کشش;ربایش;گرانش
جاعل,برساز
جاعلین,برسازها
جالب توجه,نگریستنی
جامع,فراگیر;فراخ;فرآراسته;گردآور
جانبی,پهلویی;کناری
چارت,نمودار
چرا زحمت کشیدید,چرا رنجه فرمودید
چراغ قوه,چراغ دستی
چطور,چگونه;چسان
چطوری,چگونه
حاوی,در بر گیرنده;دربرگیرنده;فراگیر;بند
حبس,زندان;بازداشتگاه;بند
حتما,بی گمان;بی گمان حد;هر آینه
حتماً,ناگزیر;بی برو برگرد;بی گفتگو;بی گمان;بی گمان حد;هر آینه
حد,مرز;اندازه;پایان;کران;کنار
حداقل,دست کم;کمترین;کمینه
حداکثر,بیشینه;ترین بیش
حدس,گمان;انگار;پندار;گاس;گمانه
حدس می‌زنم,گمان می کنم
حدود,نزدیک به;نزدیک;کم و بیش
حرارت,گرما;گرمای
حراست,نگهبانی;پاسبانی;پاسداشت;نگهداری
حرام,ناروا;نابایست;نابایسته;ناشایست;نشایست
حرف بی ربط,سخن نادرست;یاوه
حرف زدن,سخن گفتن
حرفه,پیشه;شگرد;کار
حرفه ای,چیره دست;کاردان;کارشناس
حرکت,جنبش;پویش;تکان;جُنبه
حرکت کن,بجنب
حرم سرا,پرده سرا
حریف,هم آورد;هماورد;همزور
حزن,اندوه;افسردگی;دلتنگی
حزن انگیز,اندوهبار
حساب شده,سنجیده
حسابگر,دور اندیش
حساس,دلنازک;دل نازک;زود رنج;زودرنج;زودکنش;شکننده
حسب الامر,به دستور;بر اساس فرمایش;برابر دستور;به فرمان;به فرمایش
حسنه,نیک;نیکو
حصار,دیوار;بارو;برج;پرچین;دژ;کلات;مرزبندی
حفره,سوراخ;چاله;گودال;مغاک
حق التحقیق,پژوهانه
حق التدریس,آموزانه
حق الزحمه,دستمزد
حق السکوت,خموشانه
حقوق بگیر,مزدبگیر
حقیر شد,کوچک شد
حقیقت,راستی;درستی;درستی و راستی;راستینگی;راستینه;فرهود
حکمیت,داوری
حلقوم,خرخره;خشک نای;نای
حلقوی,گرد;زرفینی
حماسی,پهلوانی
حماقت,سبک مغزی;بی خردی;کودنی;نادانی
حمال,باربر;بارکش;ترابر
حمام,گرمابه
حمایت,پشتیبانی;پشتیبانی;همدلی;همیاری
حمل و نقل,ترابری;جابجایی
حمله,یورش;تاختن;آفند;تاخت;تاخت و تاز;تازش;تک
حوزه خلیج فارس,گرداگرد خلیج فارس
حیثیت,آبرو;ارزش
حیرت انگیز,شگفت انگیز
حیرت آور,شگفت انگیز;شگفت آور
حیرت زده,شگفت زده
حیطه,گستره
حیف که,افسوس که
حیله گر,فریبکار;فریبا
حیله مکر,نیرنگ
خادم,پیشکار;چاکر;فرمانبر;کارگزار;نوکر
خارج,بیرون;برون
خارج از کشور,بیرون از کشور
خارجی,بیگانه;انیرانی;بیرونی;فرنگی
خارق العاده,شگفت انگیز;چشمگیر;شگفت آور;فرایندار
خازن,انباره
خاص,ویژه;برجسته;برگزیده
خاصیت,ویژگی;سودبخشی
خاطر نشان,یادآوری
خاطرخواه,دلباخته
خاطره,یادبود;یادمان;یادنامه
خالص,ناب;بی آلایش;پالوده;زدوده;سره
خالصانه,بی آلایش
خانم,بانو;دوشیزه;کدبانو
خبرنگار,گزارشگر;روزنامه نویس;گزارشگر;نوداننویس
خبره,کارشناس;آگاه;زبردست;کارآزموده
خجالت,شرمساری;آزرم;سرافکندگی;شرم;شرمندگی
خجالت آور,شرم آور
خجالت می‌کشم,شرم دارم
خجول,شرمسار;آزرمگین;شرمگین;کمرو
خدا رحمتش کند,خدا بیامرزدش
خدای واحد,خدای یکتا
خدشه,خراش;آسیب
خراب,ویران;رمبش;رمبیدن;نابسامان
خرابه,ویرانه
خرابی,ویرانی
خرج,هزینه
خروج,برونرفت;برونرفت;برونروی;بیرون;بیرونی
خسارت,زیان;زیان بردن;زیانکاری
خسوف,ماه گرفتگی
خصوصا,به ویژه;بویژه
خصوصیت,ویژگی
خصومت,دشمنی
خضوع,فروتنی;افتادگی
خط آهن,راه آهن
خط مشی,راه و روش
خطاط,خوشنویس
خطاطی,خوشنویسی
خطی,دست نویس;دستنویس
خطیب,سخنران;سخنور
خلاص,رها;آزاد
خلاصه,چکیده;فشرده;گزیده
خلاصی,رهایی
خلافکار,تبهکار
خلاف کار,تبهکار
خلف وعده,پیمان شکنی;ناسازگاری;نهاد
خلقت,آفرینش;سرشت;نهاد
خلوص,نابی;سارا;سرگی;سره گی
خلیج فارس,کنداب پارس;آبکند پارس
خلیفه,جانشین;پادشاه تازی
خمس,پنج یک;پنجک
خنجر,دشنه;خونبر;سرنیزه
خواص,ویژگان;یاران
خودرو کروکی,خودرو روباز
خودمختار,خودگردان
